COD_IBGE,MUNICIPIO,UF,REGIAO_TURISTICA,CLUSTER,QUANTIDADE_EMPREGOS,QUANTIDADE_ESTABELECIMENTOS,EMPREGOS_POR_ESTABELECIMENTO,VISITAS_INTERNACIONAIS_EST,VISITAS_NACIONAIS_EST,TOTAL_VISITAS_ESTIMADAS,ARRECADACAO,PIB_PER_CAPITA_R$,POPULACAO_2019
1502400,Castanhal,PA,Região Turística Amazônia Atlântica Guamá,C,93.0,9,10.33,952.0,24729.0,25681.0,941031.0,20123.38,200793
1503606,Itaituba,PA,Região Turística do Alto Tapajós,C,98.0,15,6.53,1084.0,37983.0,39067.0,194928.0,20214.09,101247
1705508,Colinas do Tocantins,TO,Vale dos Grandes Rios,C,41.0,8,5.12,120.0,68462.0,68582.0,157633.0,22549.37,35424
1709302,Guaraí,TO,Vale dos Grandes Rios,C,41.0,9,4.56,245.0,58630.0,58875.0,148561.0,26912.22,25923
1716109,Paraíso do Tocantins,TO,Serras e Lago,C,61.0,12,5.08,317.0,29464.0,29781.0,316775.0,27108.5,51252
1718204,Porto Nacional,TO,Serras e Lago,C,34.0,9,3.78,413.0,42308.0,42721.0,167510.0,35249.55,53010
2300754,Amontada,CE,Litoral Oeste,C,22.0,9,2.44,3485.0,19755.0,23240.0,138226.0,11911.02,43452
2304251,Cruz,CE,Litoral Extremo Oeste,C,123.0,11,11.18,1058.0,1329.0,2387.0,966937.0,11514.09,24827
2306405,Itapipoca,CE,Litoral Oeste,C,23.0,8,2.88,229.0,113113.0,113342.0,163773.0,12969.77,129358
2307650,Maracanaú,CE,Fortaleza,C,42.0,5,8.4,247.0,17966.0,18213.0,586940.0,42778.34,227886
2400208,Açu,RN,Polo Costa Branca,C,45.0,10,4.5,513.0,4430.0,4943.0,218959.0,21401.61,58017
2403251,Parnamirim,RN,Polo Costa das Dunas,C,76.0,14,5.43,303.0,84314.0,84617.0,534516.0,21398.33,261469
3502101,Andradina,SP,Pantanal Paulista,C,62.0,8,7.75,75.0,49044.0,49119.0,902620.0,35989.67,57157
3505302,Barra Bonita,SP,Caminhos do Tietê,C,280.0,9,31.11,39.0,24816.0,24855.0,2603119.0,31534.03,36126
3506508,Birigui,SP,Tietê Vivo,C,90.0,8,11.25,950.0,48214.0,49164.0,1027233.0,27930.66,123638
3507605,Bragança Paulista,SP,entre serras e aguas,C,121.0,14,8.64,3086.0,27414.0,30500.0,1532439.0,38406.56,168668
3513603,Cunha,SP,Fé,C,57.0,15,3.8,3240.0,0.0,3240.0,291295.0,12293.97,21547
3522307,Itapetininga,SP,Altos de Paranapiacaba,C,100.0,11,9.09,2261.0,29846.0,32107.0,869616.0,29883.19,163901
3524303,Jaboticabal,SP,Caminhos da Mogiana,C,71.0,9,7.89,1648.0,24906.0,26554.0,525801.0,38082.72,77263
3524808,Jales,SP,Entre Rios,C,49.0,9,5.44,275.0,96954.0,97229.0,323926.0,32977.6,49107
5214606,Niquelândia,GO,Região Turística Vale da Serra da Mesa,C,39.0,9,4.33,215.0,90706.0,90921.0,188584.0,25415.81,46388
5218003,Porangatu,GO,Região Turística Vale da Serra da Mesa,C,56.0,10,5.6,577.0,57756.0,58333.0,332102.0,21380.38,45394
2914802,Itabuna,BA,Costa do Cacau,B,231.0,24,9.62,2553.0,141288.0,143841.0,1602683.0,19619.07,213223
2918407,Juazeiro,BA,Vale do São Francisco,B,134.0,20,6.7,1297.0,198335.0,199632.0,637248.0,20071.32,216707
2927705,Santa Cruz Cabrália,BA,Costa do Descobrimento,B,365.0,27,13.52,976.0,13831.0,14807.0,2793553.0,15484.19,27778
3127701,Governador Valadares,MG,Trilhas do Rio Doce,B,351.0,30,11.7,13613.0,213306.0,226919.0,3556495.0,24180.08,279885
3159001,Santana do Riacho,MG,Serra do Cipó,B,150.0,24,6.25,527.0,2624.0,3151.0,828355.0,18783.31,4295
3170701,Varginha,MG,Vale Verde e Quedas D'Água,B,198.0,21,9.43,1605.0,46879.0,48484.0,1489818.0,46457.4,135558
3302205,Itaperuna,RJ,ÁGUAS DO NOROESTE,B,251.0,21,11.95,1146.0,175606.0,176752.0,1693154.0,30000.24,103224
3541406,Presidente Prudente,SP,Sol do Oeste,B,306.0,27,11.33,5176.0,242705.0,247881.0,4452701.0,36663.15,228743
3548906,São Carlos,SP,Região Turística Histórias e Vales,B,286.0,27,10.59,10210.0,163891.0,174101.0,2687848.0,46832.89,251983
3549904,São José dos Campos,SP,MANTIQUEIRA PAULISTA,B,697.0,59,11.81,25942.0,295005.0,320947.0,8397833.0,60194.93,721944
3550407,São Pedro,SP,Serra do Itaqueri,B,302.0,14,21.57,1996.0,17143.0,19139.0,1684237.0,22416.24,35653
4302105,Bento Gonçalves,RS,Uva e Vinho,B,543.0,17,31.94,6627.0,164856.0,171483.0,7003433.0,52716.31,120454
4305108,Caxias do Sul,RS,Hortênsias,B,405.0,27,15.0,13600.0,479511.0,493111.0,4894743.0,52873.85,510906
5103007,Chapada dos Guimarães,MT,Associação de Turismo da Região Circuito das Águas - Aturcira,B,387.0,20,19.35,665.0,31657.0,32322.0,5118818.0,36303.0,19752
1507300,São Félix do Xingu,PA,Região Turística do Araguaia,C,23.0,8,2.88,0.0,131396.0,131396.0,56090.0,11288.26,128481
1508084,Tucumã,PA,Região Turística do Araguaia,C,44.0,8,5.5,531.0,45574.0,46105.0,190029.0,20904.79,39602
2306553,Itarema,CE,Litoral Extremo Oeste,C,12.0,6,2.0,2640.0,45282.0,47922.0,55312.0,14717.77,41826
2602308,Bonito,PE,SERRAS E ARTES DE PERNAMBUCO,C,55.0,8,6.88,121.0,116617.0,116738.0,180997.0,11990.22,38134
